ID,ID,Genero,Anio
10534,White Squall,Action,1996
17414,Dunston Checks In,Adventure,1996
13997,Black Sheep,Comedy,1996
2086,Nick of Time,Crime,1995
61548,The Journey of August King,Drama,1995
9095,Mary Reilly,Drama,1996
12158,Vampire in Brooklyn,Comedy,1995
9283,Beautiful Girls,Comedy,1996
9208,Broken Arrow,Action,1996
40154,A Midwinter's Tale,Comedy,1995
406,La Haine,Drama,1995
45549,Shopping,Action,1994
63076,Heidi Fleiss: Hollywood Madam,Documentary,1995
11062,City Hall,Drama,1996
13685,Bottle Rocket,Comedy,1996
47475,Mr. Wrong,Comedy,1996
2045,Unforgettable,Drama,1996
9614,Happy Gilmore,Comedy,1996
688,The Bridges of Madison County,Drama,1995
11907,Nobody Loves Me,Drama,1994
10874,Muppet Treasure Island,Action,1996
89333,Catwalk,Documentary,1995
96357,Headless Body in Topless Bar,Crime,1995
197,Braveheart,Action,1995
103,Taxi Driver,Crime,1976
33542,Rumble in the Bronx,Crime,1995
43566,Before and After,Drama,1996
71754,Margaret's Museum,Drama,1995
43612,Happiness Is in the Field,Comedy,1995
51352,Anne Frank Remembered,Documentary,1995
16934,The Young Poisoner's Handbook,Comedy,1995
10324,If Lucy Fell,Comedy,1996
78406,Steal Big Steal Little,Comedy,1995
55731,Race the Sun,Action,1996
32119,The Boys of St. Vincent,Drama,1992
11066,Boomerang,Comedy,1992
11104,Chungking Express,Drama,1994
37975,The Star Maker,Drama,1995
2074,Flirting with Disaster,Comedy,1996
27793,The Neverending Story III: Escape from Fantasia,Fantasy,1994
44284,The Silences of the Palace,Drama,1994
290157,Jupiter's Wife,Desconocido,1995
110972,Pie in the Sky,Comedy,1996
32622,Angela,Comedy,1995
73067,Frankie Starlight,Drama,1995
11863,Jade,Action,1995
55475,Nueba Yol,Comedy,1995
124636,Sonic Outlaws,Music,1995
9101,Down Periscope,Comedy,1996
123360,From the Journals of Jean Seberg,Documentary,1995
5757,Man of the Year,Comedy,1995
39428,The Neon Bible,Drama,1995
124639,Target,Desconocido,1995
9302,Up Close & Personal,Drama,1996
11000,The Birdcage,Comedy,1996
249882,Virgin Mary,Drama,1995
16388,The Brothers McMullen,Comedy,1995
9737,Bad Boys,Action,1995
30765,The Amazing Panda Adventure,Action,1995
10474,The Basketball Diaries,Drama,1995
22279,An Awfully Big Adventure,Romance,1995
30157,Amateur,Crime,1994
568,Apollo 13,Drama,1995
11780,Rob Roy,Adventure,1995
34996,The Addiction,Drama,1995
414,Batman Forever,Action,1995
649,Belle de Jour,Drama,1967
1873,Beyond Rangoon,Drama,1995
5894,Blue in the Face,Comedy,1995
1775,Canadian Bacon,Action,1995
8839,Casper,Fantasy,1995
20649,Clockers,Mystery,1995
10329,Congo,Action,1995
8963,Crimson Tide,Action,1995
26564,Crumb,Documentary,1994
8068,Desperado,Thriller,1995
8512,Devil in a Blue Dress,Drama,1995
1572,Die Hard: With a Vengeance,Action,1995
13552,The Doom Generation,Action,1995
259209,Feast of July,Drama,1995
6520,First Knight,Action,1995
9073,Free Willy 2 - The Adventure Home,Adventure,1995
10428,Hackers,Action,1995
17447,Jeffrey,Comedy,1995
9886,Johnny Mnemonic,Adventure,1995
9482,Judge Dredd,Science Fiction,1995
19326,Jury Duty,Comedy,1995
9344,Kids,Drama,1995
9071,Living in Oblivion,Drama,1995
8973,Lord of Illusions,Mystery,1995
15730,Love & Human Remains,Comedy,1993
47608,Mad Love,Drama,1995
2293,Mallrats,Romance,1995
9070,Mighty Morphin Power Rangers: The Movie,Action,1995
68274,Moonlight and Valentino,Comedy,1995
48787,Mute Witness,Thriller,1995
34574,Nadja,Horror,1994
1642,The Net,Crime,1995
11472,Nine Months,Comedy,1995
36196,Party Girl,Comedy,1995
11980,The Prophecy,Fantasy,1995
58372,Reckless,Fantasy,1995
32646,Safe,Drama,1995
10533,The Scarlet Letter,Drama,1995
56088,The Show,Documentary,1995
10802,Showgirls,Drama,1995
10149,Smoke,Comedy,1995
18402,Something to Talk About,Comedy,1995
9348,Species,Science Fiction,1995
139408,The Stars Fell on Henrietta,Drama,1995
281,Strange Days,Crime,1995
5967,The Umbrellas of Cherbourg,Drama,1964
79593,The Tie That Binds,Thriller,1995
47939,Three Wishes,Drama,1995
36834,Total Eclipse,Drama,1995
9090,"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy,1995
3512,Under Siege 2: Dark Territory,Action,1995
52856,Unstrung Heroes,Comedy,1995
77350,Unzipped,Documentary,1995
9560,A Walk in the Clouds,Drama,1995
9804,Waterworld,Adventure,1995
31611,White Man's Burden,Drama,1995
65796,Wild Bill,Action,1995
49805,The Browning Version,Drama,1994
26258,Bushwhacked,Adventure,1995
50797,Burnt by the Sun,Drama,1994
19155,Before the Rain,Drama,1994
76,Before Sunrise,Drama,1995
11017,Billy Madison,Comedy,1995
37141,The Babysitter,Drama,1995
9382,Boys on the Side,Comedy,1995
6715,The Cure,Drama,1995
18256,Castle Freak,Thriller,1995
22625,Circle of Friends,Drama,1995
2292,Clerks,Comedy,1994
1909,Don Juan DeMarco,Romance,1994
8984,Disclosure,Drama,1994
61813,Dream Man,Thriller,1995
4954,Drop Zone,Action,1994
62488,Destiny Turns on the Radio,Crime,1995
10531,Death and the Maiden,Drama,1994
11929,Dolores Claiborne,Crime,1995
8467,Dumb and Dumber,Comedy,1994
10451,Eat Drink Man Woman,Comedy,1994
20156,Exotica,Drama,1994
18395,Exit to Eden,Thriller,1994
522,Ed Wood,Comedy,1994
397,French Kiss,Comedy,1995
10525,Forget Paris,Comedy,1995
27985,Far from Home: The Adventures of Yellow Dog,Action,1995
15789,A Goofy Movie,Romance,1995
27303,Hideaway,Drama,1995
21183,Fluke,Drama,1995
10954,Farinelli,History,1994
47867,Gordy,Drama,1995
43475,Gumby: The Movie,Fantasy,1995
72031,The Glass Shield,Drama,1994
14275,Hoop Dreams,Documentary,1994
1024,Heavenly Creatures,Drama,1994
17207,Houseguest,Comedy,1995
13701,Immortal Beloved,Drama,1994
14819,Heavyweights,Comedy,1995
32631,The Hunted,Action,1995
11777,I.Q.,Comedy,1994
628,Interview with the Vampire,Horror,1994
87729,Jefferson in Paris,Drama,1995
18713,The Jerky Boys,Comedy,1995
6280,Junior,Comedy,1994
9061,Just Cause,Action,1995
37108,A Kid in King Arthur's Court,Adventure,1995
6071,Kiss of Death,Action,1995
11,Star Wars,Adventure,1977
9587,Little Women,Drama,1994
19101,A Little Princess,Drama,1995
49980,Ladybird Ladybird,Drama,1994
17961,L'Enfer,Crime,1994
18183,Like Water for Chocolate,Drama,1992
4476,Legends of the Fall,Adventure,1994
11008,Major Payne,Adventure,1995
47504,Little Odessa,Action,1994
32325,Mi Vida Loca,Crime,1994
43742,Love Affair,Drama,1994
28313,Losing Isaiah,Drama,1995
11318,The Madness of King George,Comedy,1994
3036,Mary Shelley's Frankenstein,Drama,1994
40490,Man of the House,Action,1995
24070,Mixed Nuts,Comedy,1994
8986,Milk Money,Comedy,1994
10510,Miracle on 34th Street,Fantasy,1994
17402,Miami Rhapsody,Comedy,1995
38722,My Family,Comedy,1995
8438,Murder in the First,Crime,1995
11593,Nobody's Fool,Drama,1994
1945,Nell,Drama,1994
39310,New Jersey Drive,Crime,1995
109560,New York Cop,Action,1993
56428,Beyond Bedlam,Horror,1994
63105,Nemesis 2 - Nebula,Science Fiction,1995
131957,Nina Takes a Lover,Drama,1995
241,Natural Born Killers,Crime,1994
9058,Only You,Comedy,1994
527,Once Were Warriors,Drama,1994
18220,Poison Ivy II: Lily,Drama,1996
6950,Outbreak,Action,1995
101,Leon: The Professional,Thriller,1994
63020,The Perez Family,Comedy,1995
2307,A Pyromaniac's Love Story,Comedy,1995
680,Pulp Fiction,Thriller,1994
41478,Panther,Drama,1995
25296,Pushing Hands,Comedy,1992
40156,Priest,Drama,1994
11450,Quiz Show,History,1994
30304,Picture Bride,Drama,1995
10452,Queen Margot,Drama,1994
12106,The Quick and the Dead,Action,1995
161495,Roommates,Drama,1995
3586,Prêt-à-Porter,Drama,1994
110,Three Colors: Red,Drama,1994
108,Three Colors: Blue,Drama,1993
109,Three Colors: White,Comedy,1994
159185,"Red Firecracker, Green Firecracker",Drama,1994
36357,Rent-a-Kid,Comedy,1995
92769,Relative Fear,Horror,1995
28033,Stuart Saves His Family,Comedy,1995
22586,The Swan Princess,Animation,1994
14334,The Secret of Roan Inish,Drama,1994
2636,The Specialist,Action,1994
2164,Stargate,Action,1994
11395,The Santa Clause,Fantasy,1994
278,The Shawshank Redemption,Drama,1994
9905,Shallow Grave,Crime,1994
87078,Suture,Drama,1993
12527,Strawberry and Chocolate,Comedy,1993
20306,Swimming with Sharks,Crime,1994
36614,The Sum of Us,Comedy,1994
27993,Senior Trip,Comedy,1995
31439,To Live,Drama,1994
9067,Tank Girl,Action,1995
9059,Tales from the Crypt: Demon Knight,Horror,1995
193,Star Trek: Generations,Science Fiction,1994
25066,Tales from the Hood,Crime,1995
46797,Tom & Viv,Drama,1994
12122,Village of the Damned,Thriller,1995
11381,Tommy Boy,Comedy,1995
32636,Vanya on 42nd Street,Drama,1994
36141,The Underneath,Thriller,1995
95963,The Walking Dead,Drama,1995
1587,What's Eating Gilbert Grape,Romance,1993
9271,Virtuosity,Action,1995
2064,While You Were Sleeping,Comedy,1995
19855,The War,Drama,1994
60855,Double Happiness,Comedy,1994
236,Muriel's Wedding,Drama,1994
48287,The Baby-Sitters Club,Comedy,1995
3049,Ace Ventura: Pet Detective,Comedy,1994
2759,"The Adventures of Priscilla, Queen of the Desert",Drama,1994
12635,Backbeat,Drama,1994
10497,Bitter Moon,Thriller,1992
11382,Bullets Over Broadway,Action,1994
9331,Clear and Present Danger,Action,1994
10731,The Client,Drama,1994
10464,"Corrina, Corrina",Comedy,1994
34152,Crooklyn,Comedy,1994
9495,The Crow,Fantasy,1994
29973,Cobb,Drama,1994
888,The Flintstones,Fantasy,1994
13,Forrest Gump,Comedy,1994
712,Four Weddings and a Funeral,Comedy,1994
16295,Higher Learning,Romance,1995
48992,I Like It Like That,Comedy,1994
10879,I Love Trouble,Action,1994
10660,It Could Happen to You,Comedy,1994
10714,The Jungle Book,Adventure,1994
41647,"The Wonderful, Horrible Life of Leni Riefenstahl",Documentary,1993
8587,The Lion King,Family,1994
1689,Little Buddha,Drama,1993
11596,New Nightmare,Horror,1994
854,The Mask,Romance,1994
9359,Maverick,Action,1994
23333,Mrs. Parker and the Vicious Circle,Drama,1994
36593,The Naked Gun 33⅓: The Final Insult,Comedy,1994
12280,The Paper,Comedy,1994
2788,Reality Bites,Drama,1994
10427,Red Rock West,Crime,1993
11011,Ri¢hie Ri¢h,Comedy,1994
49803,Safe Passage,Drama,1994
8987,The River Wild,Action,1994
1637,Speed,Action,1994
15128,Speechless,Comedy,1994
8831,Timecop,Thriller,1994
36955,True Lies,Action,1994
10449,When a Man Loves a Woman,Drama,1994
10395,Wolf,Fantasy,1994
12160,Wyatt Earp,Drama,1994
40480,Bad Company,Action,1995
52038,A Man of No Importance,Comedy,1994
29444,S.F.W.,Comedy,1994
26352,A Low Down Dirty Shame,Action,1994
39953,"Boys Life: Three Stories of Love, Lust, and Liberation",Drama,1994
41580,Colonel Chabert,Drama,1994
315,"Faster, Pussycat! Kill! Kill!",Action,1965
22067,Jason's Lyric,Crime,1994
18242,The Secret Adventures of Tom Thumb,Animation,1993
11667,Street Fighter,Action,1994
32502,Coldblooded,Action,1995
267188,Desert Winds,Desconocido,1997
28732,Fall Time,Action,1995
75555,The Fear,Horror,1995
42981,Frank and Ollie,Documentary,1995
278939,Girl in the Cadillac,Romance,1995
291731,Homage,Thriller,1995
226229,Mirage,Action,1995
203119,Open Season,Comedy,1996
172923,Dos Crímenes,Desconocido,1995
316098,Brother Minister: The Assassination of Malcolm X,Documentary,1995
8011,Highlander: The Final Dimension,Action,1994
171857,Federal Hill,Desconocido,1995
2654,In the Mouth of Madness,Horror,1994
18069,8 Seconds,Drama,1994
19092,Above the Rim,Crime,1994
2758,Addams Family Values,Comedy,1993
38129,Martin Lawrence: You So Crazy,Comedy,1994
10436,The Age of Innocence,Drama,1993
13595,Airheads,Comedy,1994
46094,The Air Up There,Comedy,1994
9409,Another Stakeout,Action,1993
11853,Bad Girls,Action,1994
16771,Barcelona,Comedy,1994
46924,Being Human,Drama,1994
11041,The Beverly Hillbillies,Comedy,1993
306,Beverly Hills Cop III,Action,1994
14522,Black Beauty,Action,1994
26203,Blink,Mystery,1994
178,Blown Away,Drama,1994
19819,Blue Chips,Drama,1994
57834,Blue Sky,Drama,1994
4722,Body Snatchers,Horror,1993
18215,Boxing Helena,Drama,1993
1607,A Bronx Tale,Drama,1993
26391,Cabin Boy,Comedy,1994
117553,Calendar Girl,Drama,1993
6075,Carlito's Way,Action,1993
11310,City Slickers II: The Legend of Curly's Gold,Action,1994
18658,Clean Slate,Comedy,1994
9350,Cliffhanger,Action,1993
9612,Coneheads,Comedy,1993
2124,Color of Night,Drama,1994
26261,Cops & Robbersons,Action,1994
19176,The Cowboy Way,Western,1994
49299,Dangerous Game,Drama,1993
11566,Dave,Comedy,1993
9571,Dazed and Confused,Comedy,1993
9739,Demolition Man,Crime,1993
24257,The Endless Summer 2,Documentary,1994
34444,Even Cowgirls Get the Blues,Western,1994
26141,Fatal Instinct,Comedy,1993
10997,Farewell My Concubine,Drama,1993
50463,The Favor,Drama,1994
10443,Fearless,Drama,1993
20239,Fear of a Black Hat,Comedy,1994
16297,With Honors,Comedy,1994
18551,Flesh and Bone,Drama,1993
25440,Widows' Peak,Comedy,1994
9024,For Love or Money,Comedy,1993
37233,The Firm,Drama,1993
1634,Free Willy,Family,1993
13815,Fresh,Crime,1994
5503,The Fugitive,Adventure,1993
35588,Geronimo: An American Legend,History,1993
2087,The Getaway,Drama,1994
41579,Getting Even with Dad,Family,1994
18620,Go Fish,Drama,1994
41006,A Good Man in Africa,Comedy,1994
4916,Guilty as Sin,Drama,1993
2019,Hard Target,Action,1993
31642,Heaven & Earth,History,1993
9255,Hot Shots! Part Deux,Action,1993
26271,Live Nude Girls,Comedy,1995
10612,The Englishman Who Went Up a Hill But Came Down a Mountain,Drama,1995
2259,The House of the Spirits,Romance,1993
16097,House Party 3,Comedy,1994
11934,The Hudsucker Proxy,Comedy,1994
106143,I'll Do Anything,Comedy,1994
12475,In the Army Now,Comedy,1994
9386,In the Line of Fire,Action,1993
7984,In the Name of the Father,Drama,1993
59930,The Inkwell,Comedy,1994
15765,What's Love Got to Do with It,Drama,1993
31643,Jimmy Hollywood,Comedy,1994
6,Judgment Night,Action,1993
329,Jurassic Park,Adventure,1993
10909,Kalifornia,Thriller,1993
507,Killing Zoe,Action,1993
34024,King of the Hill,Drama,1993
29918,Lassie,Action,1994
9593,Last Action Hero,Adventure,1993
42580,Life With Mikey,Comedy,1993
22317,Lightning Jack,Action,1994
1413,M. Butterfly,Drama,1993
12121,Made in America,Comedy,1993
2246,Malice,Drama,1993
10502,The Man without a Face,Drama,1993
10440,Manhattan Murder Mystery,Comedy,1993
9516,Menace II Society,Drama,1993
2320,Executive Decision,Action,1996
5879,In the Realm of the Senses,Drama,1976
83718,What Happened Was...,Thriller,1994
11971,Much Ado About Nothing,Drama,1993
2625,Mr. Jones,Drama,1993
31911,Mr. Wonderful,Comedy,1993
788,Mrs. Doubtfire,Comedy,1993
21450,Naked,Comedy,1993
11231,The Next Karate Kid,Adventure,1994
41588,The New Age,Comedy,1994
10447,No Escape,Action,1994
31586,North,Comedy,1994
9300,Orlando,Romance,1992
9559,A Perfect World,Crime,1993
9800,Philadelphia,Drama,1993
713,The Piano,Drama,1993
8291,Poetic Justice,Drama,1993
18133,The Program,Drama,1993
25557,The Puppet Masters,Horror,1994
22588,Radioland Murders,Comedy,1994
10872,The Ref,Comedy,1994
1245,The Remains of the Day,Drama,1993
11858,Renaissance Man,Comedy,1994
7007,Rising Sun,Action,1993
10467,The Road to Wellville,Comedy,1994
5550,RoboCop 3,Action,1993
8005,Robin Hood: Men in Tights,Comedy,1993
2088,Romeo Is Bleeding,Action,1993
10412,Romper Stomper,Action,1992
47889,Ruby in Paradise,Drama,1993
14534,Rudy,Drama,1993
56583,The Saint of Fort Washington,Drama,1993
41878,Savage Nights,Drama,1992
424,Schindler's List,Drama,1993
35233,The Scout,Comedy,1994
14291,Searching for Bobby Fischer,Drama,1993
103413,Second Best,Drama,1994
11236,The Secret Garden,Drama,1993
11592,Serial Mom,Comedy,1994
8850,The Shadow,Adventure,1994
10445,Shadowlands,Drama,1993
695,Short Cuts,Comedy,1993
43535,A Simple Twist of Fate,Drama,1994
12519,Sirens,Comedy,1993
23210,Six Degrees of Separation,Mystery,1993
858,Sleepless in Seattle,Comedy,1993
867,Sliver,Drama,1993
78,Blade Runner,Science Fiction,1982
13203,Son in Law,Comedy,1993
10442,So I Married an Axe Murderer,Comedy,1993
11074,Striking Distance,Crime,1993
33367,Harem,History,1985
9607,Super Mario Bros.,Adventure,1993
17585,Surviving the Game,Action,1994
9057,Terminal Velocity,Action,1994
20967,Thirty Two Short Films About Glenn Gould,Drama,1993
10635,Threesome,Comedy,1994
9479,The Nightmare Before Christmas,Fantasy,1993
10057,The Three Musketeers,Action,1993
11969,Tombstone,Action,1993
41590,Trial by Jury,Drama,1994
319,True Romance,Action,1993
26408,The War Room,Documentary,1993
15139,The Pagemaster,Fantasy,1994
161158,"Paris, France",Drama,1994
218473,"The Beans of Egypt, Maine",Desconocido,1994
85247,Killer,Thriller,1994
11446,Welcome to the Dollhouse,Comedy,1995
51980,Germinal,Drama,1993
24405,Chasers,Comedy,1994
11655,Cronos,Drama,1993
11800,Naked in New York,Comedy,1993
8223,Kika,Comedy,1993
14587,Bhaji on the Beach,Comedy,1994
31504,Little Big League,Comedy,1994
41653,The Slingshot,Drama,1993
53185,Wide Eyed and Legless,TV Movie,1993
95743,Foreign Student,Drama,1994
23637,"Ciao, Professore!",Comedy,1992
17600,Spanking the Monkey,Comedy,1994
10897,The Little Rascals,Romance,1994
349394,À la mode,Comedy,1993
21352,Andre,Drama,1994
68806,The Escort,Thriller,1993
37345,Princess Caraboo,Comedy,1994
32562,The Celluloid Closet,History,1996
47507,Café au Lait,Drama,1993
25403,Dear Diary,Comedy,1993
124304,I Don't Want to Talk About It,Romance,1993
9066,The Brady Bunch Movie,Comedy,1995
771,Home Alone,Comedy,1990
251,Ghost,Fantasy,1990
812,Aladdin,Animation,1992
280,Terminator 2: Judgment Day,Action,1991
581,Dances with Wolves,Adventure,1990
80350,Tough and Deadly,Thriller,1995
268,Batman,Fantasy,1989
274,The Silence of the Lambs,Crime,1991
408,Snow White and the Seven Dwarfs,Fantasy,1937
10020,Beauty and the Beast,Romance,1991
10895,Pinocchio,Animation,1940
114,Pretty Woman,Romance,1990
41043,Window to Paris,Comedy,1993
576,The Wild Bunch,Adventure,1969
15477,Love and a .45,Crime,1994
59146,The Wooden Man's Bride,Drama,1994
124472,A Great Day in Harlem,Desconocido,1994
30528,Bye Bye Love,Comedy,1995
7300,One Fine Day,Comedy,1996
10824,Candyman: Farewell to the Flesh,Horror,1995
261246,Century,Romance,1993
275,Fargo,Crime,1996
25059,Homeward Bound II: Lost in San Francisco,Adventure,1996
11827,Heavy Metal,Animation,1981
8766,Hellraiser: Bloodline,Horror,1996
23570,The Pallbearer,Comedy,1996
47333,Jane Eyre,Drama,1996
54850,Loaded,Drama,1996
51242,Bread and Chocolate,Comedy,1974
10112,The Aristocats,Animation,1970
4307,The Flower of My Secret,Drama,1995
46029,Two Much,Comedy,1996
32308,Ed,Comedy,1996
88893,Scream of Stone,Adventure,1991
52873,My Favorite Season,Drama,1993
123505,A Modern Affair,Desconocido,1996
340210,Condition Red,Thriller,1995
44281,Halfaouine: Boy of the Terraces,Comedy,1990
28121,A Thin Line Between Love and Hate,Comedy,1996
12520,The Last Supper,Comedy,1995
1592,Primal Fear,Crime,1996
166901,Rude,Desconocido,1995
36447,Carried Away,Drama,1996
19042,All Dogs Go to Heaven 2,Romance,1996
38884,Land and Freedom,Drama,1995
47449,Denise Calls Up,Comedy,1995
36259,Theodore Rex,Fantasy,1995
41852,A Family Thing,Comedy,1996
40926,Frisk,Drama,1996
9099,Sgt. Bilko,Comedy,1996
2021,Jack & Sarah,Comedy,1995
61752,Girl 6,Comedy,1996
10988,Diabolique,Drama,1996
11479,"Little Indian, Big City",Adventure,1994
398959,Roula,Romance,1995
287305,Peanuts – Die Bank zahlt alles,Comedy,1996
339428,Happy Weekend,Comedy,1996
12652,Nelly and Monsieur Arnaud,Drama,1996
10684,Courage Under Fire,Drama,1996
954,Mission: Impossible,Adventure,1996
68445,Cold Fever,Drama,1995
18989,Moll Flanders,Drama,1996
10801,The Superwife,Comedy,1996
54285,"301, 302",Horror,1995
8840,DragonHeart,Fantasy,1996
278978,Und keiner weint mir nach,Drama,1996
124625,My Mother's Courage,Drama,1995
11107,Eddie,Action,1996
16417,Yankee Zulu,Drama,1993
70934,Billy's Holiday,Desconocido,1995
10363,Purple Noon,Crime,1960
161070,August,Romance,1996
10539,James and the Giant Peach,Adventure,1996
10543,Fear,Drama,1996
18414,Kids in the Hall: Brain Candy,Comedy,1996
47502,Faithful,Comedy,1996
11902,Underground,War,1995
27098,All Things Fair,War,1995
25087,Bloodsport II,Action,1996
5801,Pather Panchali,Drama,1955
896,The World of Apu,Drama,1959
3065,Mystery Science Theater 3000: The Movie,Comedy,1996
318177,Tarantella,Desconocido,1996
2300,Space Jam,Animation,1996
8069,Barbarella,Science Fiction,1968
288173,Hostile Intentions,Thriller,1995
187851,They Bite,Comedy,1996
27768,Some Folks Call It a Sling Blade,Drama,1994
221917,The Run of the Country,Drama,1995
8072,Alphaville,Drama,1965
35797,Coup de Torchon,Drama,1981
88030,Tigrero: A Film That Was Never Made,Documentary,1994
185191,The Eye of Vichy,Desconocido,1993
83857,Windows,Horror,1980
33245,It's My Party,Drama,1996
124460,Country Life,Drama,1994
27281,Operation Dumbo Drop,Action,1995
105045,The Promise,Drama,1995
40001,Mrs. Winterbourne,Comedy,1996
29621,Solo,Action,1996
117730,Under The Domim Tree,Drama,1994
20762,The Substitute,Action,1996
37144,True Crime,Crime,1996
48260,Butterfly Kiss,Crime,1995
12656,Feeling Minnesota,Action,1996
38867,Delta of Venus,Drama,1995
277270,To Cross the Rubicon,Desconocido,1991
25969,Angus,Comedy,1995
44103,Priest Daens,Drama,1992
753,Faces,Drama,1968
43634,Boys,Romance,1996
9103,The Quest,Action,1996
90214,Cosi,Comedy,1996
29649,Sunset Park,Drama,1996
10990,Mulholland Falls,Drama,1996
8866,The Truth About Cats & Dogs,Comedy,1996
12233,Oliver & Company,Animation,1988
23449,Celtic Pride,Comedy,1996
36355,Flipper,Adventure,1996
37667,Captives,Drama,1994
90148,Of Love and Shadows,Drama,1994
922,Dead Man,Drama,1995
11876,The Horseman on the Roof,War,1995
52633,Switchblade Sisters,Action,1975
62364,Mouth to Mouth,Comedy,1995
11687,The Visitors,Fantasy,1993
9304,Multiplicity,Comedy,1996
73183,"The Haunted World of Edward D. Wood, Jr.",Documentary,1996
131232,Two Friends,Drama,2002
9100,The Craft,Drama,1996
20759,The Great White Hype,Comedy,1996
46063,Last Dance,Drama,1996
365371,War Stories Our Mother Never Told Us,Desconocido,
32513,Cold Comfort Farm,Comedy,1995
40651,"Institute Benjamenta, or This Dream People Call Human Life",Animation,1995
36915,Heaven's Prisoners,Drama,1996
40507,Original Gangstas,Action,1996
9802,The Rock,Action,1996
25697,Getting Away with Murder,Comedy,1996
21588,Cemetery Man,Fantasy,1994
664,Twister,Action,1996
11867,Barb Wire,Action,1996
47119,Le Garçu,Drama,1995
314352,Honeymoon,Comedy,1996
9323,Ghost in the Shell,Action,1995
10280,Thinner,Horror,1996
10535,Spy Hard,Action,1996
124613,Brothers in Trouble,Comedy,1995
532,A Close Shave,Family,1995
26744,Force of Evil,Drama,1948
16299,The Stupids,Comedy,1996
10547,The Arrival,Action,1996
245268,The Man from Down Under,Drama,1943
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Drama,1964
55613,Careful,Horror,1992
215107,Vermont Is for Lovers,Desconocido,
41007,A Month by the Lake,Comedy,1995
35645,Gold Diggers: The Secret of Bear Mountain,Drama,1995
110465,Kim,Family,1950
255546,Carmen Miranda: Bananas Is My Business,Documentary,1995
40751,Ashes of Time,Drama,1994
275096,The Jar,Desconocido,1994
85778,Maya Lin: A Strong Clear Vision,Documentary,1995
11101,Stalingrad,Drama,1993
9826,The Phantom,Adventure,1996
9879,Striptease,Drama,1996
63564,The Last of the High Kings,Drama,1996
22621,Heavy,Drama,1995
7095,Jack,Comedy,1996
